'state_territory','county_name','county_web_link','founded','named_for','seat','largest_city','total_population','density','congressional_district'
'montana','musselshell_county','https://musselshellcounty.org/','february 2 1911[1]','nan','roundup','roundup','4730','2.5/sqmi (0.98/km2)','at-large'
'montana','park_county','http://www.parkcounty.org','nan','nan','nan','nan','nan','nan','nan'
'montana','petroleum_county','http://petroleumcountymt.org/','february 25 1925','petroleum fields','winnett','nan','496','0.30/sqmi (0.11/km2)','at-large'
'montana','phillips_county','nan','february 5 1915','nan','malta','malta','4217','0.81/sqmi (0.31/km2)','at-large'
'montana','pondera_county','http://www.ponderacountymontana.org','april 1 1919[1]',"pend d'oreilles people",'conrad','conrad','5898','3.6/sqmi (1.4/km2)','at-large'
'montana','powder_river_county','http://www.prco.mt.gov','march 17 1919[1]','powder river','broadus','nan','1694','0.51/sqmi (0.20/km2)','at-large'
'montana','powell_county','http://www.powellcountymt.gov/ez/index.php','february 2 1901[1]','mount powell which was named in turn for john wesley powell','deer lodge','deer lodge','6946','3.0/sqmi (1.1/km2)','at-large'
'montana','prairie_county','http://visitterrymt.com/','february 5 1915','prairie landscape','terry','nan','1088','0.6/sqmi (0.2/km2)','at-large'
'montana','ravalli_county','http://www.rc.mt.gov','march 3 1893','antonio ravalli','hamilton','hamilton','44174','18/sqmi (7.1/km2)','at-large'
'montana','richland_county','http://www.richland.org','may 27 1914','nan','sidney','sidney','11491','5.5/sqmi (2.1/km2)','at-large'
'montana','roosevelt_county','http://www.rooseveltcounty.org/','1919','theodore roosevelt','wolf point','wolf point','10794','4.6/sqmi (1.8/km2)','at-large'
'montana','rosebud_county','http://rosebudcountymt.gov','february 11 1901','rosebud river','forsyth','colstrip','8329','1.7/sqmi (0.64/km2)','at-large'
